aar 	afar
abk 	abkhaze
ace 	aceh
ach 	acoli
ada 	adangme
ady 	adyghé
afa 	afro-asiatiques, langues
afh 	afrihili
afr 	afrikaans
ain 	aïnou
aka 	akan
akk 	akkadien
alb (B)
sqi (T) 	albanais
ale 	aléoute
alg 	algonquines, langues
alt 	altai du Sud
amh 	amharique
ang 	anglo-saxon (ca.450-1100)
anp 	angika
apa 	apaches, langues
ara 	arabe
arc 	araméen d'empire (700-300 BCE)
arg 	aragonais
arm (B)
hye (T) 	arménien
arn 	mapudungun; mapuche; mapuce
arp 	arapaho
art 	artificielles, langues
arw 	arawak
asm 	assamais
ast 	asturien; bable; léonais; asturoléonais
ath 	athapascanes, langues
aus 	australiennes, langues
ava 	avar
ave 	avestique
awa 	awadhi
aym 	aymara
aze 	azéri
bad 	banda, langues
bai 	bamiléké, langues
bak 	bachkir
bal 	baloutchi
bam 	bambara
ban 	balinais
baq (B)
eus (T) 	basque
bas 	basa
bat 	baltes, langues
bej 	bedja
bel 	biélorusse
bem 	bemba
ben 	bengali
ber 	berbères, langues
bho 	bhojpuri
bih 	langues biharis
bik 	bikol
bin 	bini; edo
bis 	bichlamar
bla 	blackfoot
bnt 	bantou, langues
tib (B)
bod (T) 	tibétain
bos 	bosniaque
bra 	braj
bre 	breton
btk 	batak, langues
bua 	bouriate
bug 	bugi
bul 	bulgare
bur (B)
mya (T) 	birman
byn 	blin; bilen
cad 	caddo
cai 	amérindiennes de l'Amérique centrale, langues
car 	karib; galibi; carib
cat 	catalan; valencien
cau 	caucasiennes, langues
ceb 	cebuano
cel 	celtiques, langues; celtes, langues
cze (B)
ces (T) 	tchèque
cha 	chamorro
chb 	chibcha
che 	tchétchène
chg 	djaghataï
chi (B)
zho (T) 	chinois
chk 	chuuk
chm 	mari
chn 	chinook, jargon
cho 	choctaw
chp 	chipewyan
chr 	cherokee
chu 	slavon d'église; vieux slave; slavon liturgique; vieux bulgare
chv 	tchouvache
chy 	cheyenne
cmc 	chames, langues
cnr 	monténégrin
cop 	copte
cor 	cornique
cos 	corse
cpe 	créoles et pidgins basés sur l'anglais
cpf 	créoles et pidgins basés sur le français
cpp 	créoles et pidgins basés sur le portugais
